img_name,label,xmin,ymin,xmax,ymax
0.png,0,104,20,143,58
1.png,0,68,175,118,223
2.png,0,163,173,218,239
3.png,0,48,157,84,201
4.png,0,32,34,90,86
5.png,0,69,201,120,245
6.png,0,167,99,212,135
7.png,0,157,67,197,108
8.png,0,131,157,189,219
9.png,0,163,93,217,158
10.png,0,94,15,153,71
11.png,0,29,112,82,176
12.png,0,150,190,194,239
13.png,0,126,93,172,139
14.png,0,113,154,149,204
15.png,0,42,111,87,159
16.png,0,187,66,242,118
17.png,0,54,94,96,139
18.png,0,70,93,111,149
19.png,0,111,107,163,151
20.png,0,129,132,180,174
21.png,0,159,73,204,119
22.png,0,45,62,97,135
23.png,0,144,10,185,52
24.png,0,127,169,179,227
25.png,0,31,65,80,112
26.png,0,92,23,141,68
27.png,0,126,77,164,118
28.png,0,9,154,52,198
29.png,0,171,106,223,178
30.png,0,55,45,113,102
31.png,0,184,155,223,199
32.png,0,31,163,73,210
33.png,0,196,107,246,154
34.png,0,8,16,59,84
35.png,0,148,84,204,131
36.png,0,147,128,198,172
37.png,0,104,49,161,108
38.png,0,69,125,112,163
39.png,0,170,94,232,151
40.png,0,59,132,117,181
41.png,0,67,107,107,145
42.png,0,167,105,220,149
43.png,0,34,25,83,89
44.png,0,106,196,159,241
45.png,0,112,63,149,102
46.png,0,96,130,136,172
47.png,0,204,203,244,243
48.png,0,42,81,99,139
49.png,0,10,166,54,208
50.png,0,20,181,76,226
51.png,0,47,26,95,82
52.png,0,65,54,127,117
53.png,0,111,53,165,95
54.png,0,168,173,229,225
55.png,0,123,46,177,111
56.png,0,135,88,174,141
57.png,0,196,19,234,60
58.png,0,154,12,190,60
59.png,0,87,83,135,120
60.png,0,153,168,222,220
61.png,0,122,198,180,242
62.png,0,169,195,235,250
63.png,0,86,6,133,65
64.png,0,113,94,170,151
65.png,0,124,122,198,176
66.png,0,51,40,109,92
67.png,0,104,177,154,223
68.png,0,60,140,111,211
69.png,0,144,68,205,131
70.png,0,151,119,218,172
71.png,0,63,125,111,172
72.png,0,168,9,225,70
73.png,0,162,106,203,142
74.png,0,155,134,217,196
75.png,0,132,65,173,102
76.png,0,107,107,150,153
77.png,0,99,172,159,237
78.png,0,145,48,205,102
79.png,0,44,36,87,74
80.png,0,92,132,159,188
81.png,0,26,160,72,220
82.png,0,25,206,69,245
83.png,0,180,170,228,211
84.png,0,110,80,163,129
85.png,0,76,121,141,179
86.png,0,175,173,221,229
87.png,0,16,79,73,141
88.png,0,167,152,215,199
89.png,0,48,9,87,62
90.png,0,125,125,171,167
91.png,0,117,14,166,68
92.png,0,179,117,239,166
93.png,0,54,179,109,247
94.png,0,16,55,69,103
95.png,0,8,50,63,114
96.png,0,141,135,188,179
97.png,0,86,16,141,89
98.png,0,155,23,195,83
99.png,0,28,73,74,115
100.png,0,89,104,145,159
101.png,0,193,208,238,249
102.png,0,138,147,187,214
103.png,0,203,51,242,91
104.png,0,54,151,88,197
105.png,0,112,119,156,167
106.png,0,98,130,153,198
107.png,0,42,6,97,72
108.png,0,5,126,54,169
109.png,0,23,179,67,221
110.png,0,202,108,249,153
111.png,0,47,96,88,133
112.png,0,37,64,91,132
113.png,0,173,165,221,218
114.png,0,30,99,92,155
115.png,0,37,122,77,165
116.png,0,49,173,109,224
117.png,0,149,194,206,249
118.png,0,145,122,199,173
119.png,0,57,100,104,147
120.png,0,18,199,61,235
121.png,0,162,153,219,217
122.png,0,112,91,167,163
123.png,0,148,58,219,113
124.png,0,51,185,98,230
125.png,0,117,8,168,76
126.png,0,160,71,223,132
127.png,0,16,65,62,109
128.png,0,139,66,186,123
129.png,0,54,162,94,208
130.png,0,124,99,163,145
131.png,0,24,66,70,113
132.png,0,83,178,134,227
133.png,0,66,33,114,76
134.png,0,194,166,249,228
135.png,0,103,58,156,118
136.png,0,187,99,247,149
137.png,0,158,185,211,236
138.png,0,155,161,212,214
139.png,0,46,58,98,99
140.png,0,31,146,89,198
141.png,0,140,154,187,204
142.png,0,27,147,71,210
143.png,0,146,37,185,74
144.png,0,134,112,183,164
145.png,0,11,173,57,224
146.png,0,41,164,91,233
147.png,0,162,101,215,170
148.png,0,15,111,57,152
149.png,0,168,140,230,197
150.png,0,74,194,118,242
151.png,0,7,152,61,218
152.png,0,122,182,165,232
153.png,0,79,112,115,162
154.png,0,166,184,230,239
155.png,0,79,57,122,106
156.png,0,140,17,181,54
157.png,0,13,171,63,216
158.png,0,77,27,125,61
159.png,0,26,110,75,163
160.png,0,193,55,248,109
161.png,0,79,74,124,114
162.png,0,6,129,66,194
163.png,0,94,141,134,183
164.png,0,115,57,180,114
165.png,0,121,113,179,171
166.png,0,161,27,209,75
167.png,0,130,172,188,221
168.png,0,123,165,174,225
169.png,0,20,7,69,52
170.png,0,67,45,128,96
171.png,0,110,154,152,192
172.png,0,102,119,167,170
173.png,0,109,146,154,183
174.png,0,134,135,186,188
175.png,0,99,43,160,94
176.png,0,109,157,169,218
177.png,0,49,29,107,76
178.png,0,130,162,174,208
179.png,0,100,7,157,68
180.png,0,184,87,225,127
181.png,0,129,156,185,214
182.png,0,164,182,217,230
183.png,0,134,145,191,210
184.png,0,85,46,134,96
185.png,0,60,148,123,196
186.png,0,182,100,233,148
187.png,0,70,44,121,108
188.png,0,191,46,239,107
189.png,0,205,65,243,105
190.png,0,80,204,117,244
191.png,0,160,125,202,167
192.png,0,33,110,98,171
193.png,0,14,47,62,110
194.png,0,108,157,160,225
195.png,0,112,25,175,89
196.png,0,38,110,90,156
197.png,0,66,162,125,207
198.png,0,159,163,215,214
199.png,0,83,28,147,85
200.png,0,100,148,139,189
201.png,0,87,23,139,73
202.png,0,40,172,91,211
203.png,0,148,92,182,145
204.png,0,143,32,184,83
205.png,0,49,173,109,227
206.png,0,159,14,212,65
207.png,0,15,56,62,107
208.png,0,200,123,243,177
209.png,0,62,205,106,248
210.png,0,10,170,71,231
211.png,0,124,161,169,215
212.png,0,85,84,126,130
213.png,0,112,57,173,108
214.png,0,19,59,79,120
215.png,0,112,61,168,111
216.png,0,30,143,76,218
217.png,0,67,118,105,167
218.png,0,159,36,221,82
219.png,0,85,127,149,182
220.png,0,135,109,188,157
221.png,0,92,169,135,212
222.png,0,113,92,161,140
